행정동명,보증금(만원),임대료(만원),임대면적(㎡),행정동_코드,medical,education,shopping,bank,gov,culture,intercity,intracity,자치구명,crime_rate,clearance_rate,crime_grade,lat,lon
수궁동,2500.0,47.0,46.51,11530790,5,10,1,1,3,0,0,72,구로구,0.04179710217,0.7291296625,NORMAL,37.4938815927112,126.831478611978
수색동,10000.0,100.0,59.96,11380650,5,2,2,2,5,0,0,23,은평구,0.03980499635,0.765620143,NORMAL,37.5835205431622,126.893690338772
수서동,10000.0,105.0,39.6,11680750,11,6,0,3,3,0,0,25,강남구,0.07556391443,0.7483215982,DANGER,37.4868187699686,127.105426218127
수유1동,1000.0,50.0,28.0,11305615,12,6,1,2,4,0,0,41,강북구,0.02832254792,0.9003931848,SAFE,37.6292195545746,127.007105243262
숭인2동,1000.0,62.0,22.42,11110710,5,0,2,3,4,3,0,8,종로구,0.03421225207,1.174683544,NORMAL,37.5748775396923,127.01996896628
시흥1동,2000.0,40.0,34.45,11545670,28,7,0,7,9,3,0,53,금천구,0.02495700269,0.8477937531,SAFE,37.4535392677412,126.903250685753
신길7동,2000.0,50.0,30.27,11560690,7,2,0,1,5,1,0,33,영등포구,0.051559658,0.8032157427,DANGER,37.5063735330337,126.921477469472
신내1동,5000.0,34.0,49.69,11260680,14,4,0,2,3,0,0,54,중랑구,0.0392110766,0.7772167876,NORMAL,37.6058746703089,127.099496657031
신당동,1000.0,78.0,23.82,11140615,13,5,3,5,7,1,0,10,중구,0.0365631844,0.7377326565,NORMAL,37.5620157313143,127.014442188261
신대방1동,1000.0,50.0,24.14,11590670,10,6,0,1,3,0,0,16,동작구,0.03036414704,0.717196414,SAFE,37.4889471309296,126.910048211189
신도림동,5500.0,79.5,53.48,11530510,12,6,2,4,5,2,0,46,구로구,0.04179710217,0.7291296625,NORMAL,37.5077809050365,126.880610228674
신수동,2000.0,60.0,30.0,11440630,6,4,0,1,4,0,0,24,마포구,0.04814461946,0.7794911334,DANGER,37.5470206619261,126.935226865858
신월3동,2000.0,50.0,41.22,11470580,7,7,0,1,2,0,0,8,양천구,0.03711998416,0.7043333333,NORMAL,37.5336736083473,126.829053899725
신정1동,5000.0,50.0,45.34,11470620,9,5,0,3,7,0,0,26,양천구,0.03711998416,0.7043333333,NORMAL,37.5185381615639,126.854272909009
신촌동,1000.0,65.0,18.98,11410585,23,115,1,10,6,7,0,62,서대문구,0.02541481582,0.723466407,SAFE,37.5651616940517,126.93927687604
쌍문3동,1500.0,46.0,37.88,11320680,13,1,0,3,3,1,0,18,도봉구,0.02154196414,0.792073521,SAFE,37.6489660489945,127.027934441938
안암동,1000.0,60.0,22.0,11290600,12,74,0,6,4,0,0,36,성북구,0.02702334847,0.8008241758,SAFE,37.5858189680127,127.021344106907
암사1동,5000.0,50.0,37.325,11740570,8,3,1,1,2,0,0,13,강동구,0.04145064898,0.7492537313,NORMAL,37.5515625771126,127.132682054831
압구정동,3015.0,70.0,45.0,11680545,35,6,3,25,4,3,0,20,강남구,0.07556391443,0.7483215982,DANGER,37.5306686414268,127.030809170421
양재1동,5000.0,60.0,36.0,11650651,21,9,0,11,12,0,0,88,서초구,0.04687016667,0.772967265,NORMAL,37.4716393313202,127.026728803944
양평1동,5000.0,60.0,28.63,11560610,7,2,0,3,5,1,0,23,영등포구,0.051559658,0.8032157427,DANGER,37.5236460161437,126.888227693253
양평2동,18000.0,30.0,29.26,11560620,7,6,0,6,8,3,0,36,영등포구,0.051559658,0.8032157427,DANGER,37.5377447245086,126.89594587648
여의동,5000.0,110.0,41.22,11560540,45,6,0,70,23,1,0,66,영등포구,0.051559658,0.8032157427,DANGER,37.5176044401503,126.934609800644
역삼1동,3000.0,87.0,29.81,11680640,68,2,0,49,15,4,0,45,강남구,0.07556391443,0.7483215982,DANGER,37.4954279212043,127.033201088112
역촌동,2000.0,50.0,38.07,11380625,20,3,0,5,5,0,0,51,은평구,0.03980499635,0.765620143,NORMAL,37.6043976551679,126.915123289569
연남동,1500.0,63.0,29.64,11440710,2,4,0,1,2,0,0,23,마포구,0.04814461946,0.7794911334,DANGER,37.5644776141885,126.922023205508
연희동,1000.0,60.0,22.0,11410615,17,18,0,7,7,2,0,70,서대문구,0.02541481582,0.723466407,SAFE,37.5739100104158,126.935230751932
염리동,5000.0,80.0,34.61,11440610,3,7,0,1,3,2,0,10,마포구,0.04814461946,0.7794911334,DANGER,37.5470619620453,126.94565571696
염창동,12000.0,55.0,28.69,11500510,16,4,0,3,5,0,0,37,강서구,0.04959229884,0.8510479042,DANGER,37.553736243135,126.870985348962
영등포동,5000.0,52.0,21.905,11560535,41,2,0,17,10,17,0,42,영등포구,0.051559658,0.8032157427,DANGER,37.5134118222973,126.906168599588
오금동,6378.0,44.0,40.08,11710570,13,12,0,5,5,0,0,30,송파구,0.06401959935,0.7325086973,DANGER,37.5029748269764,127.128103930329
오류1동,1620.0,50.0,29.43,11530770,11,4,0,4,5,0,0,23,구로구,0.04179710217,0.7291296625,NORMAL,37.4970933382633,126.845050656227
오류2동,6514.0,17.0,49.58,11530780,10,12,0,1,3,0,0,87,구로구,0.04179710217,0.7291296625,NORMAL,37.4887786989241,126.839536320952
오륜동,5000.0,70.0,28.135,11710566,6,19,0,6,4,0,0,18,송파구,0.06401959935,0.7325086973,DANGER,37.515416211056,127.134305677243
옥수동,15000.0,189.0,68.58,11200645,10,6,0,2,4,0,0,47,성동구,0.02619433549,0.7132735002,SAFE,37.5435886378543,127.013438338877
왕십리2동,10000.0,80.0,40.94,11200520,5,2,0,0,2,0,0,19,성동구,0.02619433549,0.7132735002,SAFE,37.561796307227,127.030994021909
왕십리도선동,5000.0,60.0,23.61,11200535,22,6,0,4,4,0,0,26,성동구,0.02619433549,0.7132735002,SAFE,37.5678811410707,127.025531625263
용강동,3000.0,85.0,37.065,11440590,11,3,0,6,7,0,0,25,마포구,0.04814461946,0.7794911334,DANGER,37.54231770904,126.942708117541
용답동,2000.0,60.5,25.195,11200790,8,1,1,2,7,0,0,13,성동구,0.02619433549,0.7132735002,SAFE,37.5640758244216,127.055579052769
용문동,10000.0,75.0,44.635,11170590,3,0,0,0,1,0,0,22,용산구,0.0411041958,0.7450331126,NORMAL,37.5377008640148,126.959891817892
용산2가동,1000.0,70.0,41.85,11170520,4,5,0,0,3,0,0,30,용산구,0.0411041958,0.7450331126,NORMAL,37.5461257352926,126.985574456915
용두동,2000.0,65.0,25.23,11230536,25,4,1,8,10,5,0,46,동대문구,0.03979262302,0.7717661692,NORMAL,37.575418648042,127.033598820976
우이동,1000.0,42.0,36.84,11305645,7,4,0,0,2,0,0,57,강북구,0.02832254792,0.9003931848,SAFE,37.6630390800112,127.001890452891
원효로1동,10000.0,78.0,33.958,11170560,6,5,4,3,6,0,0,31,용산구,0.0411041958,0.7450331126,NORMAL,37.5373284451334,126.967712666408
원효로2동,4000.0,70.0,47.1,11170570,4,5,2,2,4,0,0,27,용산구,0.0411041958,0.7450331126,NORMAL,37.5343604221086,126.951530188917
월계2동,2000.0,50.0,33.75,11350570,5,23,0,0,4,0,0,65,노원구,0.0383696903,0.7768461787,NORMAL,37.6324884457576,127.050744895708
월곡2동,1000.0,50.0,19.83,11290725,12,15,0,4,6,0,0,36,성북구,0.02702334847,0.8008241758,SAFE,37.6057915694886,127.047886454933
위례동,6627.0,33.0,49.93,11710647,5,5,0,1,3,0,0,32,송파구,0.06401959935,0.7325086973,DANGER,37.4811482419831,127.144257010883
은천동,2000.0,53.0,21.0,11620605,9,5,0,0,6,0,0,43,관악구,0.05549437632,0.7839464883,DANGER,37.4853777674732,126.94250287828
을지로동,5000.0,175.0,42.998,11140605,13,0,1,10,5,5,0,24,중구,0.0365631844,0.7377326565,NORMAL,37.5665933374822,126.991062500268
응봉동,15000.0,103.0,59.975,11200580,2,2,0,0,3,0,0,31,성동구,0.02619433549,0.7132735002,SAFE,37.553160488276,127.033416807797
응암3동,3000.0,50.0,36.615,11380600,17,5,2,3,3,0,0,31,은평구,0.03980499635,0.765620143,NORMAL,37.5922419251438,126.915734945869
이문1동,1000.0,55.0,25.0,11230740,13,35,0,2,5,0,0,27,동대문구,0.03979262302,0.7717661692,NORMAL,37.5978219540464,127.065505630651
이촌2동,20000.0,200.0,84.89,11170640,1,0,0,0,2,0,0,11,용산구,0.0411041958,0.7450331126,NORMAL,37.5262598665621,126.954675898191
이태원1동,1000.0,90.0,48.05,11170650,3,1,3,5,8,0,0,15,용산구,0.0411041958,0.7450331126,NORMAL,37.5325069970311,126.99509883212
이화동,1750.0,60.0,26.52,11110640,12,39,0,4,4,0,0,29,종로구,0.03421225207,1.174683544,NORMAL,37.5769946840177,127.004338052474
자양4동,2000.0,60.0,30.12,11215847,16,2,1,2,5,1,0,17,광진구,0.03551145152,0.7731707317,NORMAL,37.5340742469272,127.066305179223
잠실6동,30000.0,180.0,84.79,11710710,24,2,0,17,4,1,0,15,송파구,0.06401959935,0.7325086973,DANGER,37.5181274574865,127.100660517951
잠실본동,10000.0,78.0,43.45,11710650,25,1,0,9,5,0,0,13,송파구,0.06401959935,0.7325086973,DANGER,37.5060603472207,127.083254253495
장안1동,3285.0,53.0,29.53,11230650,30,6,0,11,5,0,0,44,동대문구,0.03979262302,0.7717661692,NORMAL,37.5677895234585,127.066439189872
장위1동,5000.0,45.0,39.9,11290760,8,8,0,1,4,0,0,37,성북구,0.02702334847,0.8008241758,SAFE,37.6140390353236,127.043732759303
장지동,5800.0,70.0,27.53,11710646,10,7,0,3,4,1,0,42,송파구,0.06401959935,0.7325086973,DANGER,37.4785083981102,127.136582139995
장충동,2000.0,61.5,27.975,11140580,1,4,0,2,6,3,0,14,중구,0.0365631844,0.7377326565,NORMAL,37.5619118374182,127.007859437008
전농1동,2000.0,60.0,29.6,11230560,14,6,0,2,5,6,0,38,동대문구,0.03979262302,0.7717661692,NORMAL,37.5780230697113,127.047705647167
정릉3동,1000.0,50.0,26.0,11290640,2,33,0,1,4,0,0,38,성북구,0.02702334847,0.8008241758,SAFE,37.6089294464121,127.004190410838
제기동,1000.0,56.0,21.0,11230545,23,8,3,5,4,14,0,31,동대문구,0.03979262302,0.7717661692,NORMAL,37.5831154639891,127.037818414722
종로1234가동,1000.0,74.0,23.14,11010610,47,7,1,35,19,22,0,72,종로구,0.03421225207,1.174683544,NORMAL,37.5744355396605,126.990287260844
종로56가동,1500.0,75.0,20.552,11010630,31,2,4,8,7,3,0,24,종로구,0.03421225207,1.174683544,NORMAL,37.5720319758374,127.005071290563
종암동,2000.0,52.0,30.0,11290705,18,10,0,2,7,0,0,56,성북구,0.02702334847,0.8008241758,SAFE,37.5990602270306,127.035212918853
중계1동,3000.0,80.0,44.94,11350621,7,5,0,3,2,0,0,18,노원구,0.0383696903,0.7768461787,NORMAL,37.6525478299759,127.077502189744
중곡2동,3000.0,50.0,33.0,11215750,14,2,0,4,2,0,0,23,광진구,0.03551145152,0.7731707317,NORMAL,37.5602945934343,127.081526307691
중림동,6413.0,120.0,59.943,11140680,7,4,0,2,3,5,0,14,중구,0.0365631844,0.7377326565,NORMAL,37.559168225382,126.966182119336
중화2동,2000.0,47.0,33.41,11260610,14,0,2,3,2,0,0,35,중랑구,0.0392110766,0.7772167876,NORMAL,37.6020061617272,127.077399901172
증산동,5000.0,55.0,48.96,11380640,8,4,2,0,3,0,0,17,은평구,0.03980499635,0.765620143,NORMAL,37.5843030609174,126.907039772766
진관동,2984.0,57.0,24.91,11380690,22,18,0,6,6,1,0,82,은평구,0.03980499635,0.765620143,NORMAL,37.6349668825061,126.92106591289
창2동,2000.0,60.0,39.92,11320512,9,2,0,0,3,0,0,44,도봉구,0.02154196414,0.792073521,SAFE,37.6413776828686,127.035658904706
창신3동,1000.0,50.0,38.57,11110690,1,2,0,0,3,0,0,6,종로구,0.03421225207,1.174683544,NORMAL,37.5778623689298,127.015002228159
천연동,5000.0,70.0,56.02,11410520,4,14,0,1,4,1,0,44,서대문구,0.02541481582,0.723466407,SAFE,37.5675017663094,126.958422464555
천호2동,3000.0,50.0,29.865,11740610,27,3,0,3,4,3,0,22,강동구,0.04145064898,0.7492537313,NORMAL,37.5423772043678,127.128329732293
청구동,3000.0,68.0,36.3,11140645,3,5,0,0,2,0,0,5,중구,0.0365631844,0.7377326565,NORMAL,37.5570313818502,127.014717375081
청담동,10000.0,130.0,49.619,11680565,31,7,0,19,11,0,0,26,강남구,0.07556391443,0.7483215982,DANGER,37.5250293348772,127.049233039691
청량리동,1000.0,79.0,23.14,11230705,17,6,0,4,9,2,0,34,동대문구,0.03979262302,0.7717661692,NORMAL,37.5830468218369,127.048170770368
청운효자동,8000.0,65.0,46.74,11110515,4,14,0,3,6,0,0,26,종로구,0.03421225207,1.174683544,NORMAL,37.5841161738353,126.97064969123
청파동,1000.0,55.0,24.92,11170555,12,30,1,2,7,1,0,35,용산구,0.0411041958,0.7450331126,NORMAL,37.54543080354,126.969863704612
충현동,4870.0,43.0,23.14,11410565,7,31,0,8,9,0,0,61,서대문구,0.02541481582,0.723466407,SAFE,37.5648190388811,126.954715932221
평창동,10000.0,80.0,79.373,11110560,6,4,0,2,6,0,0,91,종로구,0.03421225207,1.174683544,NORMAL,37.6063916960375,126.968357810931
풍납2동,5000.0,50.0,40.0,11710520,27,11,0,5,5,0,0,25,송파구,0.06401959935,0.7325086973,DANGER,37.5292392251138,127.115731280691
필동,1000.0,55.5,24.355,11140570,8,22,0,9,6,3,0,17,중구,0.0365631844,0.7377326565,NORMAL,37.5601640832367,126.995599542438
하계1동,3000.0,63.0,44.52,11350611,10,24,0,3,4,0,0,41,노원구,0.0383696903,0.7768461787,NORMAL,37.6405462557667,127.072581464765
한강로동,10000.0,110.0,42.5,11170625,21,3,5,19,19,5,0,48,용산구,0.0411041958,0.7450331126,NORMAL,37.5281422426636,126.969228070947
한남동,5000.0,250.0,59.5,11170685,14,4,3,11,30,0,0,38,용산구,0.0411041958,0.7450331126,NORMAL,37.5346298557798,127.000552132438
합정동,3000.0,65.0,31.0,11440680,10,3,0,3,4,0,0,32,마포구,0.04814461946,0.7794911334,DANGER,37.5516618139957,126.911756414276
항동,6583.0,34.0,59.86,11530800,2,12,0,0,1,0,0,37,구로구,0.04179710217,0.7291296625,NORMAL,37.4801853131194,126.823409784343
행당2동,3000.0,65.0,29.43,11200570,4,4,0,2,2,0,0,25,성동구,0.02619433549,0.7132735002,SAFE,37.5582648219048,127.0293401659
혜화동,1000.0,60.0,20.88,11110650,16,35,0,5,6,1,0,36,종로구,0.03421225207,1.174683544,NORMAL,37.5868624440017,127.00060686405
홍은1동,1000.0,47.0,32.135,11410660,7,2,0,0,3,1,0,32,서대문구,0.02541481582,0.723466407,SAFE,37.5989166778931,126.947108251212
홍제3동,5000.0,53.0,44.53,11410640,16,7,4,3,3,6,0,47,서대문구,0.02541481582,0.723466407,SAFE,37.5937821789847,126.949743382569
화곡1동,3000.0,50.0,30.0,11500540,28,3,0,2,3,1,0,29,강서구,0.04959229884,0.8510479042,DANGER,37.5303934432113,126.841601310694
화양동,1000.0,60.0,18.66,11215710,18,39,0,5,3,1,0,18,광진구,0.03551145152,0.7731707317,NORMAL,37.5464762611363,127.071367614735
황학동,3000.0,70.0,26.46,11140670,10,0,0,6,1,7,0,6,중구,0.0365631844,0.7377326565,NORMAL,37.5674999372117,127.021415848975
회기동,1000.0,55.0,20.34,11230710,11,20,0,5,3,0,0,10,동대문구,0.03979262302,0.7717661692,NORMAL,37.5907885967281,127.05537245757
회현동,3000.0,60.0,28.85,11140540,16,3,2,17,9,3,0,41,중구,0.0365631844,0.7377326565,NORMAL,37.5572755681352,126.979370256256
효창동,10000.0,67.5,52.275,11170580,5,3,0,1,1,0,0,24,용산구,0.0411041958,0.7450331126,NORMAL,37.5424588083349,126.9618988792
후암동,3000.0,60.0,41.6,11170510,7,4,2,1,6,0,0,18,용산구,0.0411041958,0.7450331126,NORMAL,37.5486798277286,126.978150463736
휘경2동,1000.0,55.0,19.0,11230730,6,13,0,1,5,0,0,27,동대문구,0.03979262302,0.7717661692,NORMAL,37.5901076994926,127.068614843098
흑석동,2000.0,60.0,27.0,11590605,25,26,0,6,6,1,0,51,동작구,0.03036414704,0.717196414,SAFE,37.5057750153538,126.966590753167
